CellID	PositionX	PositionY	ECMValue	VEGFValue	Avg_Position	Displacement	AnastomosisCount
0	N/A	N/A	N/A	N/A	N/A	15.81	0
0	14	26	1.6000	0.8530	N/A	N/A	N/A
0	13	27	1.5000	0.9200	N/A	N/A	N/A
0	12	27	1.4000	0.9085	N/A	N/A	N/A
0	11	27	1.3000	0.3781	11,27	N/A	N/A
0	10	27	1.2000	0.1911	10,27	N/A	N/A
0	9	27	1.1000	0.6129	N/A	N/A	N/A
0	8	28	1.0000	0.7576	N/A	N/A	N/A
0	7	28	0.9000	0.0053	7,28	N/A	N/A
0	6	27	0.8000	0.1300	6,27	N/A	N/A
0	5	28	0.7000	0.6361	N/A	N/A	N/A
0	4	29	0.6000	0.5722	N/A	N/A	N/A
0	3	29	0.5000	0.9889	N/A	N/A	N/A
0	2	30	0.4000	0.9544	N/A	N/A	N/A
0	1	31	0.3000	0.9418	N/A	N/A	N/A
0	0	30	0.2000	0.9171	N/A	N/A	N/A
1	N/A	N/A	N/A	N/A	N/A	16.49	1
1	34	26	3.6000	0.9341	N/A	N/A	N/A
1	33	25	3.5000	0.9526	N/A	N/A	N/A
1	32	25	3.4000	0.9636	32,25	N/A	N/A
1	31	24	3.3000	0.7004	N/A	N/A	N/A
1	30	23	3.2000	0.4741	30,23	N/A	N/A
1	29	22	3.1000	0.7266	29,22	N/A	N/A
1	28	23	3.0000	0.5013	N/A	N/A	N/A
1	27	23	2.9000	0.0431	27,23	N/A	N/A
1	26	22	2.8000	0.7830	N/A	N/A	N/A
1	25	23	2.7000	0.6820	N/A	N/A	N/A
1	24	23	2.6000	0.3672	24,23	N/A	N/A
1	23	23	2.5000	0.9072	N/A	N/A	N/A
1	22	24	2.4000	0.9367	N/A	N/A	N/A
1	21	23	2.3000	0.7800	N/A	N/A	N/A
1	20	22	2.2000	0.8112	20,22	N/A	N/A
1	19	21	2.1000	0.6494	N/A	N/A	N/A
2	N/A	N/A	N/A	N/A	N/A	25.50	0
2	25	15	2.7000	0.5126	25,15	N/A	N/A
2	25	15	2.7000	0.5126	25,15	N/A	N/A
2	25	16	2.7000	0.0265	25,16	N/A	N/A
2	25	16	2.7000	0.0265	25,16	N/A	N/A
2	25	16	2.7000	0.0265	25,16	N/A	N/A
2	25	16	2.7000	0.0265	25,16	N/A	N/A
2	25	16	2.7000	0.0265	25,16	N/A	N/A
2	25	16	2.7000	0.0265	25,16	N/A	N/A
2	25	15	2.7000	0.5126	25,15	N/A	N/A
2	24	15	2.6000	0.7054	N/A	N/A	N/A
2	23	15	2.5000	0.7048	N/A	N/A	N/A
2	22	15	2.4000	0.6665	N/A	N/A	N/A
2	21	15	2.3000	0.8988	N/A	N/A	N/A
2	20	14	2.2000	0.2849	20,14	N/A	N/A
2	19	14	2.1000	0.9745	N/A	N/A	N/A
2	18	14	2.0000	0.9094	N/A	N/A	N/A
