CellID	PositionX	PositionY	ECMValue	VEGFValue	Avg_Position	Displacement	AnastomosisCount
0	N/A	N/A	N/A	N/A	N/A	16.16	0
0	15	25	1.7000	0.4198	15,25	N/A	N/A
0	15	25	1.7000	0.4198	15,25	N/A	N/A
0	15	25	1.7000	0.4198	15,25	N/A	N/A
0	15	24	1.7000	0.8501	15,24	N/A	N/A
0	15	24	1.7000	0.8501	15,24	N/A	N/A
0	15	24	1.7000	0.8501	15,24	N/A	N/A
0	15	24	1.7000	0.8501	15,24	N/A	N/A
0	15	24	1.7000	0.8501	15,24	N/A	N/A
0	15	24	1.7000	0.8501	15,24	N/A	N/A
0	15	23	1.7000	0.6944	15,23	N/A	N/A
0	14	22	1.6000	0.8662	14,22	N/A	N/A
0	13	21	1.5000	0.9984	N/A	N/A	N/A
0	12	21	1.4000	0.0457	12,21	N/A	N/A
0	11	20	1.3000	0.8968	N/A	N/A	N/A
0	10	19	1.2000	0.8087	N/A	N/A	N/A
0	9	19	1.1000	0.0674	9,19	N/A	N/A
0	8	18	1.0000	0.8050	N/A	N/A	N/A
0	7	18	0.9000	0.4041	7,18	N/A	N/A
0	6	19	0.8000	0.9958	N/A	N/A	N/A
0	5	18	0.7000	0.8177	N/A	N/A	N/A
0	4	18	0.6000	0.9581	N/A	N/A	N/A
0	3	18	0.5000	0.6481	3,18	N/A	N/A
0	2	18	0.4000	0.9977	N/A	N/A	N/A
0	1	18	0.3000	0.5863	1,18	N/A	N/A
0	0	19	0.2000	0.6300	N/A	N/A	N/A
1	N/A	N/A	N/A	N/A	N/A	19.24	1
1	34	25	3.6000	0.8848	N/A	N/A	N/A
1	33	25	3.5000	0.6919	33,25	N/A	N/A
1	32	24	3.4000	0.0248	32,24	N/A	N/A
1	31	23	3.3000	0.2223	31,23	N/A	N/A
1	30	22	3.2000	0.3904	30,22	N/A	N/A
1	29	22	3.1000	0.2112	29,22	N/A	N/A
1	28	21	3.0000	0.7860	N/A	N/A	N/A
1	27	20	2.9000	0.9193	N/A	N/A	N/A
1	26	21	2.8000	0.8688	N/A	N/A	N/A
1	25	22	2.7000	0.0486	25,22	N/A	N/A
1	24	23	2.6000	0.4919	24,23	N/A	N/A
1	23	24	2.5000	0.6893	N/A	N/A	N/A
1	22	24	2.4000	0.5175	N/A	N/A	N/A
1	21	24	2.3000	0.7827	N/A	N/A	N/A
1	20	25	2.2000	0.2946	20,25	N/A	N/A
1	20	25	2.2000	0.2946	20,25	N/A	N/A
1	20	24	2.2000	0.0809	20,24	N/A	N/A
1	20	23	2.2000	0.1467	20,23	N/A	N/A
1	19	22	2.1000	0.5240	N/A	N/A	N/A
1	18	21	2.0000	0.8720	N/A	N/A	N/A
1	17	22	1.9000	0.9339	N/A	N/A	N/A
1	16	22	1.8000	0.3682	16,22	N/A	N/A
2	N/A	N/A	N/A	N/A	N/A	25.71	0
2	24	16	2.6000	0.7351	N/A	N/A	N/A
2	23	17	2.5000	0.5791	N/A	N/A	N/A
2	22	16	2.4000	0.8780	N/A	N/A	N/A
2	21	15	2.3000	0.9624	N/A	N/A	N/A
2	20	16	2.2000	0.5426	20,16	N/A	N/A
2	19	16	2.1000	0.9748	N/A	N/A	N/A
2	18	15	2.0000	0.9962	N/A	N/A	N/A
2	17	15	1.9000	0.5944	N/A	N/A	N/A
2	16	16	1.8000	0.8694	N/A	N/A	N/A
2	15	17	1.7000	0.5962	N/A	N/A	N/A
2	15	17	1.7000	0.5962	15,17	N/A	N/A
2	15	16	1.7000	0.1754	15,16	N/A	N/A
2	15	15	1.7000	0.4598	15,15	N/A	N/A
2	14	14	1.6000	0.3669	14,14	N/A	N/A
2	13	15	1.5000	0.8518	N/A	N/A	N/A
2	13	15	1.5000	0.8518	13,15	N/A	N/A
2	13	15	1.5000	0.8518	13,15	N/A	N/A
2	13	15	1.5000	0.8518	13,15	N/A	N/A
2	13	14	1.5000	0.1228	13,14	N/A	N/A
2	12	14	1.4000	0.4860	N/A	N/A	N/A
2	11	13	1.3000	0.9703	N/A	N/A	N/A
2	10	13	1.2000	0.6386	10,13	N/A	N/A
2	9	12	1.1000	0.0459	9,12	N/A	N/A
2	8	12	1.0000	0.5113	8,12	N/A	N/A
2	7	11	0.9000	0.4600	7,11	N/A	N/A
2	6	10	0.8000	0.5931	N/A	N/A	N/A
2	5	9	0.7000	0.7286	N/A	N/A	N/A
2	4	10	0.6000	0.8000	N/A	N/A	N/A
2	3	10	0.5000	0.7762	N/A	N/A	N/A
2	2	9	0.4000	0.2950	2,9	N/A	N/A
2	1	9	0.3000	0.8281	N/A	N/A	N/A
2	0	9	0.2000	0.0398	0,9	N/A	N/A
3	N/A	N/A	N/A	N/A	N/A	25.02	0
3	24	36	2.6000	0.9422	N/A	N/A	N/A
3	23	36	2.5000	0.6427	23,36	N/A	N/A
3	22	35	2.4000	0.0995	22,35	N/A	N/A
3	21	34	2.3000	0.2645	21,34	N/A	N/A
3	20	34	2.2000	0.3184	20,34	N/A	N/A
3	19	35	2.1000	0.9275	N/A	N/A	N/A
3	18	36	2.0000	0.1760	18,36	N/A	N/A
3	17	36	1.9000	0.8410	N/A	N/A	N/A
3	16	36	1.8000	0.7900	N/A	N/A	N/A
3	15	37	1.7000	0.8444	N/A	N/A	N/A
3	14	36	1.6000	0.5577	N/A	N/A	N/A
3	13	37	1.5000	0.6978	N/A	N/A	N/A
3	12	37	1.4000	0.7949	12,37	N/A	N/A
3	11	36	1.3000	0.3424	11,36	N/A	N/A
3	10	35	1.2000	0.0053	10,35	N/A	N/A
3	9	35	1.1000	0.5567	9,35	N/A	N/A
3	8	35	1.0000	0.7683	N/A	N/A	N/A
3	7	36	0.9000	0.9737	N/A	N/A	N/A
3	6	35	0.8000	0.8308	N/A	N/A	N/A
3	5	35	0.7000	0.8606	N/A	N/A	N/A
3	4	36	0.6000	0.7815	N/A	N/A	N/A
3	3	36	0.5000	0.4221	3,36	N/A	N/A
3	2	35	0.4000	0.9330	N/A	N/A	N/A
3	1	35	0.3000	0.8031	N/A	N/A	N/A
3	0	34	0.2000	0.1410	0,34	N/A	N/A
4	N/A	N/A	N/A	N/A	N/A	7.81	1
4	20	20	2.2000	0.0392	20,20	N/A	N/A
4	20	19	2.2000	0.4308	20,19	N/A	N/A
4	20	19	2.2000	0.4308	20,19	N/A	N/A
4	20	19	2.2000	0.4308	20,19	N/A	N/A
4	20	19	2.2000	0.4308	20,19	N/A	N/A
4	20	19	2.2000	0.4308	20,19	N/A	N/A
4	20	19	2.2000	0.4308	20,19	N/A	N/A
4	20	20	2.2000	0.0392	20,20	N/A	N/A
4	20	20	2.2000	0.0392	20,20	N/A	N/A
4	20	20	2.2000	0.0392	20,20	N/A	N/A
4	20	20	2.2000	0.0392	20,20	N/A	N/A
4	20	20	2.2000	0.0392	20,20	N/A	N/A
4	20	20	2.2000	0.0392	20,20	N/A	N/A
4	20	19	2.2000	0.4308	20,19	N/A	N/A
4	20	18	2.2000	0.0712	20,18	N/A	N/A
4	19	17	2.1000	0.5894	19,17	N/A	N/A
4	18	16	2.0000	0.5378	18,16	N/A	N/A
4	17	16	1.9000	0.0131	17,16	N/A	N/A
4	16	16	1.8000	0.8694	N/A	N/A	N/A
4	15	15	1.7000	0.4598	15,15	N/A	N/A
4	14	15	1.6000	0.8391	14,15	N/A	N/A
5	N/A	N/A	N/A	N/A	N/A	6.40	1
5	29	30	3.1000	0.9843	N/A	N/A	N/A
5	28	31	3.0000	0.9141	N/A	N/A	N/A
5	27	32	2.9000	0.2008	27,32	N/A	N/A
5	26	33	2.8000	0.6104	N/A	N/A	N/A
5	25	34	2.7000	0.7155	N/A	N/A	N/A
