CellID	PositionX	PositionY	ECMValue	VEGFValue	Avg_Position	Displacement	AnastomosisCount
0	N/A	N/A	N/A	N/A	N/A	15.13	0
0	15	25	1.7000	0.6646	15,25	N/A	N/A
0	15	25	1.7000	0.6646	15,25	N/A	N/A
0	15	26	1.7000	0.7530	15,26	N/A	N/A
0	15	26	1.7000	0.7530	15,26	N/A	N/A
0	15	26	1.7000	0.7530	15,26	N/A	N/A
0	15	26	1.7000	0.7530	15,26	N/A	N/A
0	15	26	1.7000	0.7530	15,26	N/A	N/A
0	15	26	1.7000	0.7530	15,26	N/A	N/A
0	15	26	1.7000	0.7530	15,26	N/A	N/A
0	15	26	1.7000	0.7530	15,26	N/A	N/A
0	15	25	1.7000	0.6646	15,25	N/A	N/A
0	14	25	1.6000	0.8046	N/A	N/A	N/A
0	13	25	1.5000	0.0652	13,25	N/A	N/A
0	12	25	1.4000	0.9499	N/A	N/A	N/A
0	11	26	1.3000	0.7155	N/A	N/A	N/A
0	11	27	1.3000	0.6258	11,27	N/A	N/A
0	10	28	1.2000	0.9665	N/A	N/A	N/A
0	9	28	1.1000	0.8698	N/A	N/A	N/A
0	8	29	1.0000	0.6510	N/A	N/A	N/A
0	7	30	0.9000	0.7882	7,30	N/A	N/A
0	6	30	0.8000	0.4886	6,30	N/A	N/A
0	5	30	0.7000	0.7537	5,30	N/A	N/A
0	4	29	0.6000	0.8867	N/A	N/A	N/A
0	3	28	0.5000	0.9385	N/A	N/A	N/A
0	2	27	0.4000	0.9129	N/A	N/A	N/A
0	1	27	0.3000	0.4633	1,27	N/A	N/A
0	0	27	0.2000	0.7357	N/A	N/A	N/A
1	N/A	N/A	N/A	N/A	N/A	14.04	1
1	35	24	3.7000	0.7867	35,24	N/A	N/A
1	35	23	3.7000	0.7319	35,23	N/A	N/A
1	34	22	3.6000	0.8904	34,22	N/A	N/A
1	33	23	3.5000	0.9346	N/A	N/A	N/A
1	32	23	3.4000	0.9312	N/A	N/A	N/A
1	31	22	3.3000	0.2466	31,22	N/A	N/A
1	30	23	3.2000	0.5277	N/A	N/A	N/A
1	29	23	3.1000	0.8271	N/A	N/A	N/A
1	28	23	3.0000	0.6022	N/A	N/A	N/A
1	27	23	2.9000	0.7989	N/A	N/A	N/A
1	26	24	2.8000	0.6711	N/A	N/A	N/A
1	25	23	2.7000	0.8857	N/A	N/A	N/A
1	24	22	2.6000	0.7758	24,22	N/A	N/A
1	23	22	2.5000	0.4382	N/A	N/A	N/A
1	22	23	2.4000	0.7423	N/A	N/A	N/A
1	21	24	2.3000	0.9580	N/A	N/A	N/A
2	N/A	N/A	N/A	N/A	N/A	19.00	1
2	24	14	2.6000	0.6469	N/A	N/A	N/A
2	23	13	2.5000	0.9438	N/A	N/A	N/A
2	22	14	2.4000	0.6243	N/A	N/A	N/A
2	21	15	2.3000	0.8205	N/A	N/A	N/A
2	20	15	2.2000	0.3952	20,15	N/A	N/A
2	19	16	2.1000	0.9757	N/A	N/A	N/A
2	18	15	2.0000	0.8093	N/A	N/A	N/A
2	17	15	1.9000	0.1393	17,15	N/A	N/A
2	16	15	1.8000	0.7210	N/A	N/A	N/A
2	15	14	1.7000	0.9065	N/A	N/A	N/A
2	14	14	1.6000	0.8424	N/A	N/A	N/A
2	13	13	1.5000	0.9782	N/A	N/A	N/A
2	12	13	1.4000	0.3539	12,13	N/A	N/A
2	11	14	1.3000	0.9431	N/A	N/A	N/A
2	11	14	1.3000	0.9431	11,14	N/A	N/A
2	11	13	1.3000	0.5978	11,13	N/A	N/A
2	10	12	1.2000	0.8845	N/A	N/A	N/A
2	9	13	1.1000	0.6311	N/A	N/A	N/A
2	8	13	1.0000	0.7487	N/A	N/A	N/A
2	7	14	0.9000	0.8956	N/A	N/A	N/A
2	7	14	0.9000	0.8956	7,14	N/A	N/A
2	7	15	0.9000	0.1331	7,15	N/A	N/A
2	6	15	0.8000	0.5532	6,15	N/A	N/A
3	N/A	N/A	N/A	N/A	N/A	10.63	1
3	24	34	2.6000	0.8990	N/A	N/A	N/A
3	23	35	2.5000	0.4709	N/A	N/A	N/A
3	23	35	2.5000	0.4709	23,35	N/A	N/A
3	23	35	2.5000	0.4709	23,35	N/A	N/A
3	23	35	2.5000	0.4709	23,35	N/A	N/A
3	23	35	2.5000	0.4709	23,35	N/A	N/A
3	23	35	2.5000	0.4709	23,35	N/A	N/A
3	23	35	2.5000	0.4709	23,35	N/A	N/A
3	23	34	2.5000	0.0584	23,34	N/A	N/A
3	23	33	2.5000	0.1103	23,33	N/A	N/A
3	22	32	2.4000	0.1049	22,32	N/A	N/A
3	21	31	2.3000	0.4913	N/A	N/A	N/A
3	20	30	2.2000	0.3221	20,30	N/A	N/A
3	19	29	2.1000	0.7304	19,29	N/A	N/A
3	18	29	2.0000	0.9652	N/A	N/A	N/A
3	17	28	1.9000	0.1302	17,28	N/A	N/A
4	N/A	N/A	N/A	N/A	N/A	21.54	0
4	19	20	2.1000	0.8277	19,20	N/A	N/A
4	18	21	2.0000	0.8794	N/A	N/A	N/A
4	17	22	1.9000	0.9654	N/A	N/A	N/A
4	16	21	1.8000	0.9336	N/A	N/A	N/A
4	15	22	1.7000	0.8186	N/A	N/A	N/A
4	14	22	1.6000	0.5223	N/A	N/A	N/A
4	13	21	1.5000	0.8276	N/A	N/A	N/A
4	12	20	1.4000	0.8366	N/A	N/A	N/A
4	11	19	1.3000	0.6383	N/A	N/A	N/A
4	10	19	1.2000	0.8911	N/A	N/A	N/A
4	9	20	1.1000	0.9693	N/A	N/A	N/A
4	8	19	1.0000	0.8693	N/A	N/A	N/A
4	7	18	0.9000	0.9834	N/A	N/A	N/A
4	6	17	0.8000	0.2031	6,17	N/A	N/A
4	5	16	0.7000	0.4258	N/A	N/A	N/A
4	4	15	0.6000	0.9707	N/A	N/A	N/A
4	3	15	0.5000	0.4563	N/A	N/A	N/A
4	2	14	0.4000	0.5553	N/A	N/A	N/A
4	1	13	0.3000	0.3150	1,13	N/A	N/A
4	0	12	0.2000	0.6098	0,12	N/A	N/A
5	N/A	N/A	N/A	N/A	N/A	14.56	1
5	29	29	3.1000	0.7027	N/A	N/A	N/A
5	28	28	3.0000	0.7668	N/A	N/A	N/A
5	27	27	2.9000	0.9734	N/A	N/A	N/A
5	26	28	2.8000	0.9226	N/A	N/A	N/A
5	25	27	2.7000	0.9576	N/A	N/A	N/A
5	24	27	2.6000	0.2256	24,27	N/A	N/A
5	23	26	2.5000	0.3417	23,26	N/A	N/A
5	22	26	2.4000	0.5049	N/A	N/A	N/A
5	21	26	2.3000	0.2739	N/A	N/A	N/A
5	20	25	2.2000	0.9228	N/A	N/A	N/A
5	19	25	2.1000	0.3767	19,25	N/A	N/A
5	18	26	2.0000	0.9564	N/A	N/A	N/A
5	17	27	1.9000	0.3710	N/A	N/A	N/A
5	16	26	1.8000	0.9974	N/A	N/A	N/A
