CellID	PositionX	PositionY	ECMValue	VEGFValue	Avg_Position	Displacement	AnastomosisCount
0	N/A	N/A	N/A	N/A	N/A	16.16	0
0	14	26	1.6000	0.7785	N/A	N/A	N/A
0	13	27	1.5000	0.7406	N/A	N/A	N/A
0	12	28	1.4000	0.7444	12,28	N/A	N/A
0	11	28	1.3000	0.6516	11,28	N/A	N/A
0	10	28	1.2000	0.8069	N/A	N/A	N/A
0	9	27	1.1000	0.2420	9,27	N/A	N/A
0	8	28	1.0000	0.8252	N/A	N/A	N/A
0	7	29	0.9000	0.5633	N/A	N/A	N/A
0	6	29	0.8000	0.6850	6,29	N/A	N/A
0	5	28	0.7000	0.0323	5,28	N/A	N/A
0	4	28	0.6000	0.2636	4,28	N/A	N/A
0	3	29	0.5000	0.7326	N/A	N/A	N/A
0	2	30	0.4000	0.5492	N/A	N/A	N/A
0	1	30	0.3000	0.7921	N/A	N/A	N/A
0	0	31	0.2000	0.7772	N/A	N/A	N/A
1	N/A	N/A	N/A	N/A	N/A	14.56	1
1	35	25	3.7000	0.9197	35,25	N/A	N/A
1	35	26	3.7000	0.2371	35,26	N/A	N/A
1	35	26	3.7000	0.2371	35,26	N/A	N/A
1	34	25	3.6000	0.3923	34,25	N/A	N/A
1	33	24	3.5000	0.8445	N/A	N/A	N/A
1	32	23	3.4000	0.0950	32,23	N/A	N/A
1	31	23	3.3000	0.9060	N/A	N/A	N/A
1	30	23	3.2000	0.8979	N/A	N/A	N/A
1	29	22	3.1000	0.3532	29,22	N/A	N/A
1	28	23	3.0000	0.8897	N/A	N/A	N/A
1	27	22	2.9000	0.8039	N/A	N/A	N/A
1	26	21	2.8000	0.9964	N/A	N/A	N/A
1	25	20	2.7000	0.9175	N/A	N/A	N/A
1	24	20	2.6000	0.1741	24,20	N/A	N/A
1	23	20	2.5000	0.9316	N/A	N/A	N/A
1	22	21	2.4000	0.5467	17,11	N/A	N/A
1	21	21	2.3000	0.5908	N/A	N/A	N/A
2	N/A	N/A	N/A	N/A	N/A	19.00	1
2	24	16	2.6000	0.7828	N/A	N/A	N/A
2	23	17	2.5000	0.4309	N/A	N/A	N/A
2	23	18	2.5000	0.2528	23,18	N/A	N/A
2	23	18	2.5000	0.2528	23,18	N/A	N/A
2	23	17	2.5000	0.4309	23,17	N/A	N/A
2	23	16	2.5000	0.2001	23,16	N/A	N/A
2	23	15	2.5000	0.1556	23,15	N/A	N/A
2	22	14	2.4000	0.8884	N/A	N/A	N/A
2	21	13	2.3000	0.5805	N/A	N/A	N/A
2	20	14	2.2000	0.7272	N/A	N/A	N/A
2	19	13	2.1000	0.8451	N/A	N/A	N/A
2	18	14	2.0000	0.9423	N/A	N/A	N/A
2	18	14	2.0000	0.9423	18,14	N/A	N/A
2	18	13	2.0000	0.2468	18,13	N/A	N/A
2	18	12	2.0000	0.5815	18,12	N/A	N/A
2	17	11	1.9000	0.8970	15,29	N/A	N/A
2	16	11	1.8000	0.9268	N/A	N/A	N/A
2	15	10	1.7000	0.5135	15,10	N/A	N/A
2	14	11	1.6000	0.2912	14,11	N/A	N/A
2	13	12	1.5000	0.7719	N/A	N/A	N/A
2	12	13	1.4000	0.5460	N/A	N/A	N/A
2	11	13	1.3000	0.5978	N/A	N/A	N/A
2	10	13	1.2000	0.9492	N/A	N/A	N/A
2	9	12	1.1000	0.9806	N/A	N/A	N/A
2	8	13	1.0000	0.9928	N/A	N/A	N/A
2	7	14	0.9000	0.8920	N/A	N/A	N/A
2	6	15	0.8000	0.2954	6,15	N/A	N/A
3	N/A	N/A	N/A	N/A	N/A	13.89	1
3	24	36	2.6000	0.9917	N/A	N/A	N/A
3	23	37	2.5000	0.8668	N/A	N/A	N/A
3	23	38	2.5000	0.4167	23,38	N/A	N/A
3	23	38	2.5000	0.4167	23,38	N/A	N/A
3	23	37	2.5000	0.8668	23,37	N/A	N/A
3	23	36	2.5000	0.3489	23,36	N/A	N/A
3	23	35	2.5000	0.4357	23,35	N/A	N/A
3	23	34	2.5000	0.2785	23,34	N/A	N/A
3	22	33	2.4000	0.3407	22,33	N/A	N/A
3	21	32	2.3000	0.7232	N/A	N/A	N/A
3	20	31	2.2000	0.8775	N/A	N/A	N/A
3	19	30	2.1000	0.6015	19,30	N/A	N/A
3	18	30	2.0000	0.9264	N/A	N/A	N/A
3	17	29	1.9000	0.6379	17,29	N/A	N/A
3	16	29	1.8000	0.9871	N/A	N/A	N/A
3	15	29	1.7000	0.5231	5,16	N/A	N/A
3	14	29	1.6000	0.1376	14,29	N/A	N/A
3	13	28	1.5000	0.7990	N/A	N/A	N/A
4	N/A	N/A	N/A	N/A	N/A	20.40	0
4	19	21	2.1000	0.9979	N/A	N/A	N/A
4	19	22	2.1000	0.0186	19,22	N/A	N/A
4	18	23	2.0000	0.4850	18,23	N/A	N/A
4	17	23	1.9000	0.3143	17,23	N/A	N/A
4	16	23	1.8000	0.9456	N/A	N/A	N/A
4	15	22	1.7000	0.2189	15,22	N/A	N/A
4	14	22	1.6000	0.7707	N/A	N/A	N/A
4	13	22	1.5000	0.0159	13,22	N/A	N/A
4	12	21	1.4000	0.9218	N/A	N/A	N/A
4	11	20	1.3000	0.7545	N/A	N/A	N/A
