CellID	PositionX	PositionY	ECMValue	Displacement	AnastomosisCount
0	N/A	N/A	N/A	15.13	0
0	14	24	0.5000	N/A	N/A
0	13	23	0.5000	N/A	N/A
0	12	22	0.5000	N/A	N/A
0	12	23	0.5000	N/A	N/A
0	13	23	0.5000	N/A	N/A
0	12	24	0.5000	N/A	N/A
0	11	23	0.5000	N/A	N/A
0	10	23	0.5000	N/A	N/A
0	10	22	0.5000	N/A	N/A
0	10	21	0.5000	N/A	N/A
0	9	20	0.5000	N/A	N/A
0	8	21	0.5000	N/A	N/A
0	9	22	0.5000	N/A	N/A
0	10	23	0.5000	N/A	N/A
0	10	24	0.5000	N/A	N/A
0	9	24	0.5000	N/A	N/A
0	9	23	0.5000	N/A	N/A
0	10	23	0.5000	N/A	N/A
0	9	24	0.5000	N/A	N/A
0	8	24	0.5000	N/A	N/A
0	7	24	0.5000	N/A	N/A
0	6	24	0.5000	N/A	N/A
0	6	23	0.5000	N/A	N/A
0	5	22	0.5000	N/A	N/A
0	5	23	0.5000	N/A	N/A
0	6	23	0.5000	N/A	N/A
0	5	23	0.5000	N/A	N/A
0	5	22	0.5000	N/A	N/A
0	4	22	0.5000	N/A	N/A
0	3	23	0.5000	N/A	N/A
0	2	24	0.5000	N/A	N/A
0	1	23	0.5000	N/A	N/A
0	1	22	0.5000	N/A	N/A
0	1	21	0.5000	N/A	N/A
0	2	21	0.5000	N/A	N/A
0	1	22	0.5000	N/A	N/A
0	1	23	0.5000	N/A	N/A
0	2	24	0.5000	N/A	N/A
0	2	25	0.5000	N/A	N/A
0	1	26	0.5000	N/A	N/A
0	0	27	0.5000	N/A	N/A
1	N/A	N/A	N/A	17.46	1
1	34	24	0.5000	N/A	N/A
1	33	25	0.5000	N/A	N/A
1	32	26	0.5000	N/A	N/A
1	33	27	0.5000	N/A	N/A
1	34	27	0.5000	N/A	N/A
1	33	26	0.5000	N/A	N/A
1	32	26	0.5000	N/A	N/A
1	32	27	0.5000	N/A	N/A
1	31	27	0.5000	N/A	N/A
1	31	26	0.5000	N/A	N/A
1	30	26	0.5000	N/A	N/A
1	29	27	0.5000	N/A	N/A
1	28	26	0.5000	N/A	N/A
1	28	25	0.5000	N/A	N/A
1	27	24	0.5000	N/A	N/A
1	26	23	0.5000	N/A	N/A
1	25	23	0.5000	N/A	N/A
1	25	24	0.5000	N/A	N/A
1	26	24	0.5000	N/A	N/A
1	26	25	0.5000	N/A	N/A
1	25	26	0.5000	N/A	N/A
1	24	25	0.5000	N/A	N/A
1	23	24	0.5000	N/A	N/A
1	22	25	0.5000	N/A	N/A
1	22	26	0.5000	N/A	N/A
1	21	26	0.5000	N/A	N/A
1	21	27	0.5000	N/A	N/A
1	22	27	0.5000	N/A	N/A
1	21	27	0.5000	N/A	N/A
1	20	28	0.5000	N/A	N/A
1	19	28	0.5000	N/A	N/A
1	18	29	0.5000	N/A	N/A
2	N/A	N/A	N/A	5.00	1
2	24	16	0.5000	N/A	N/A
2	23	17	0.5000	N/A	N/A
2	23	18	0.5000	N/A	N/A
2	22	19	0.5000	N/A	N/A
3	N/A	N/A	N/A	14.21	1
3	24	36	0.5000	N/A	N/A
3	23	35	0.5000	N/A	N/A
3	22	35	0.5000	N/A	N/A
3	22	34	0.5000	N/A	N/A
3	23	33	0.5000	N/A	N/A
3	23	32	0.5000	N/A	N/A
3	22	31	0.5000	N/A	N/A
3	22	30	0.5000	N/A	N/A
3	23	30	0.5000	N/A	N/A
3	22	31	0.5000	N/A	N/A
3	22	32	0.5000	N/A	N/A
3	21	32	0.5000	N/A	N/A
3	20	31	0.5000	N/A	N/A
3	19	32	0.5000	N/A	N/A
3	18	31	0.5000	N/A	N/A
3	17	30	0.5000	N/A	N/A
3	17	31	0.5000	N/A	N/A
3	16	32	0.5000	N/A	N/A
3	15	32	0.5000	N/A	N/A
3	14	31	0.5000	N/A	N/A
3	14	30	0.5000	N/A	N/A
3	15	30	0.5000	N/A	N/A
3	15	29	0.5000	N/A	N/A
3	15	28	0.5000	N/A	N/A
3	15	27	0.5000	N/A	N/A
3	14	26	0.5000	N/A	N/A
4	N/A	N/A	N/A	0.00	1
4	19	19	0.5000	N/A	N/A
4	19	20	0.5000	N/A	N/A
4	20	21	0.5000	N/A	N/A
4	20	20	0.5000	N/A	N/A
5	N/A	N/A	N/A	7.21	1
5	31	29	0.5000	N/A	N/A
5	31	30	0.5000	N/A	N/A
5	31	31	0.5000	N/A	N/A
5	31	32	0.5000	N/A	N/A
5	31	33	0.5000	N/A	N/A
5	31	34	0.5000	N/A	N/A
5	30	35	0.5000	N/A	N/A
5	31	36	0.5000	N/A	N/A
5	32	35	0.5000	N/A	N/A
5	33	36	0.5000	N/A	N/A
5	34	36	0.5000	N/A	N/A
5	34	35	0.5000	N/A	N/A
5	33	34	0.5000	N/A	N/A
5	32	33	0.5000	N/A	N/A
5	31	34	0.5000	N/A	N/A
5	30	35	0.5000	N/A	N/A
5	29	34	0.5000	N/A	N/A
5	28	35	0.5000	N/A	N/A
5	29	36	0.5000	N/A	N/A
5	29	37	0.5000	N/A	N/A
5	28	38	0.5000	N/A	N/A
5	27	37	0.5000	N/A	N/A
5	27	36	0.5000	N/A	N/A
5	26	36	0.5000	N/A	N/A
