RunNumber	Linear	Radial	Uniform
1	14.113333333333332	5.153333333333333	2.455
2	12.4	7.531666666666666	5.096666666666667
3	14.211666666666668	4.983333333333333	3.0033333333333334
4	19.688333333333333	5.701666666666667	4.208333333333333
5	11.83	9.943333333333333	6.3500000000000005
6	13.1	7.963333333333334	3.853333333333333
7	21.055	4.805	3.16
8	13.286666666666667	4.968333333333334	10.896666666666667
9	14.296666666666667	7.838333333333334	5.456666666666667
10	14.024999999999999	6.355	6.545000000000001
11	10.698333333333332	6.859999999999999	6.031666666666667
12	21.115	7.5566666666666675	3.861666666666667
13	17.735	11.518333333333336	2.1633333333333336
14	9.636666666666667	5.5683333333333325	5.955000000000001
15	19.61666666666667	4.053333333333334	3.48
16	16.723333333333333	5.353333333333333	4.576666666666667
17	13.443333333333333	6.421666666666667	8.048333333333334
18	16.48	7.435	9.688333333333333
19	18.310000000000002	4.655	4.966666666666667
20	17.938333333333333	5.753333333333333	8.401666666666666
