RunNumber	Linear	Radial	Uniform
1	18.463333333333335	22.861666666666668	13.225
2	16.705000000000002	22.861666666666668	7.210000000000001
3	17.405	22.861666666666668	8.341666666666667
4	16.61	22.861666666666668	10.895000000000001
5	15.613333333333335	22.861666666666668	9.835
6	21.48166666666667	22.861666666666668	12.143333333333333
7	14.356666666666667	22.861666666666668	12.148333333333333
8	17.833333333333332	22.861666666666668	3.8699999999999997
9	15.23166666666667	22.861666666666668	9.603333333333333
10	15.193333333333333	22.861666666666668	10.626666666666667
11	20.63	22.861666666666668	8.909999999999998
12	18.01	22.861666666666668	9.223333333333334
13	17.168333333333333	22.861666666666668	11.463333333333333
14	17.926666666666666	22.861666666666668	14.621666666666664
15	14.733333333333334	22.861666666666668	10.826666666666666
16	18.951666666666664	22.861666666666668	13.25
17	16.605	22.861666666666668	11.903333333333334
18	21.561666666666667	22.861666666666668	11.933333333333332
19	20.57166666666667	22.861666666666668	10.628333333333334
20	16.593333333333334	22.861666666666668	10.083333333333334
