CellID	PositionX	PositionY	ECMValue	Displacement	AnastomosisCount
0	N/A	N/A	N/A	16.55	0
0	14	24	1.6000	N/A	N/A
0	13	25	1.5000	N/A	N/A
0	12	26	1.4000	N/A	N/A
0	11	26	1.3000	N/A	N/A
0	10	27	1.2000	N/A	N/A
0	9	28	1.1000	N/A	N/A
0	8	29	1.0000	N/A	N/A
0	7	29	0.9000	N/A	N/A
0	6	28	0.8000	N/A	N/A
0	5	27	0.7000	N/A	N/A
0	4	28	0.6000	N/A	N/A
0	3	29	0.5000	N/A	N/A
0	2	30	0.4000	N/A	N/A
0	1	31	0.3000	N/A	N/A
0	0	32	0.2000	N/A	N/A
1	N/A	N/A	N/A	12.17	1
1	34	26	3.6000	N/A	N/A
1	33	26	3.5000	N/A	N/A
1	32	25	3.4000	N/A	N/A
1	31	26	3.3000	N/A	N/A
1	30	26	3.2000	N/A	N/A
1	29	26	3.1000	N/A	N/A
1	28	26	3.0000	N/A	N/A
1	27	25	2.9000	N/A	N/A
1	26	25	2.8000	N/A	N/A
1	25	26	2.7000	N/A	N/A
1	24	26	2.6000	N/A	N/A
1	23	27	2.5000	N/A	N/A
2	N/A	N/A	N/A	7.62	1
2	24	15	2.6000	N/A	N/A
2	23	16	2.5000	N/A	N/A
2	22	15	2.4000	N/A	N/A
2	21	16	2.3000	N/A	N/A
2	20	16	2.2000	N/A	N/A
2	19	17	2.1000	N/A	N/A
2	18	18	2.0000	N/A	N/A
3	N/A	N/A	N/A	25.02	0
3	24	34	2.6000	N/A	N/A
3	23	34	2.5000	N/A	N/A
3	22	33	2.4000	N/A	N/A
3	21	34	2.3000	N/A	N/A
3	20	34	2.2000	N/A	N/A
3	19	34	2.1000	N/A	N/A
3	18	35	2.0000	N/A	N/A
3	17	34	1.9000	N/A	N/A
3	16	35	1.8000	N/A	N/A
3	15	34	1.7000	N/A	N/A
3	14	35	1.6000	N/A	N/A
3	13	36	1.5000	N/A	N/A
3	12	35	1.4000	N/A	N/A
3	11	35	1.3000	N/A	N/A
3	10	35	1.2000	N/A	N/A
3	9	34	1.1000	N/A	N/A
3	8	35	1.0000	N/A	N/A
3	7	34	0.9000	N/A	N/A
3	6	33	0.8000	N/A	N/A
3	5	34	0.7000	N/A	N/A
3	4	34	0.6000	N/A	N/A
3	3	34	0.5000	N/A	N/A
3	2	35	0.4000	N/A	N/A
3	1	36	0.3000	N/A	N/A
3	0	36	0.2000	N/A	N/A
4	N/A	N/A	N/A	20.02	0
4	19	19	2.1000	N/A	N/A
4	18	19	2.0000	N/A	N/A
4	17	19	1.9000	N/A	N/A
4	16	18	1.8000	N/A	N/A
4	15	18	1.7000	N/A	N/A
4	14	18	1.6000	N/A	N/A
4	13	19	1.5000	N/A	N/A
4	12	18	1.4000	N/A	N/A
4	11	19	1.3000	N/A	N/A
4	10	20	1.2000	N/A	N/A
4	9	21	1.1000	N/A	N/A
4	8	21	1.0000	N/A	N/A
4	7	22	0.9000	N/A	N/A
4	6	23	0.8000	N/A	N/A
4	5	22	0.7000	N/A	N/A
4	4	22	0.6000	N/A	N/A
4	3	21	0.5000	N/A	N/A
4	2	21	0.4000	N/A	N/A
4	1	20	0.3000	N/A	N/A
4	0	21	0.2000	N/A	N/A
5	N/A	N/A	N/A	18.25	1
5	29	30	3.1000	N/A	N/A
5	28	29	3.0000	N/A	N/A
5	27	28	2.9000	N/A	N/A
5	26	28	2.8000	N/A	N/A
5	25	28	2.7000	N/A	N/A
5	24	29	2.6000	N/A	N/A
5	23	28	2.5000	N/A	N/A
5	22	28	2.4000	N/A	N/A
5	21	29	2.3000	N/A	N/A
5	20	28	2.2000	N/A	N/A
5	19	28	2.1000	N/A	N/A
5	18	29	2.0000	N/A	N/A
5	17	28	1.9000	N/A	N/A
5	16	29	1.8000	N/A	N/A
5	15	28	1.7000	N/A	N/A
5	14	28	1.6000	N/A	N/A
5	13	28	1.5000	N/A	N/A
5	12	27	1.4000	N/A	N/A
