CellID	PositionX	PositionY	ECMValue	Displacement	AnastomosisCount
0	N/A	N/A	N/A	15.30	0
0	14	24	1.6000	N/A	N/A
0	13	25	1.5000	N/A	N/A
0	12	24	1.4000	N/A	N/A
0	11	23	1.3000	N/A	N/A
0	10	22	1.2000	N/A	N/A
0	9	23	1.1000	N/A	N/A
0	8	22	1.0000	N/A	N/A
0	7	21	0.9000	N/A	N/A
0	6	22	0.8000	N/A	N/A
0	5	22	0.7000	N/A	N/A
0	4	22	0.6000	N/A	N/A
0	3	22	0.5000	N/A	N/A
0	2	22	0.4000	N/A	N/A
0	1	21	0.3000	N/A	N/A
0	0	22	0.2000	N/A	N/A
1	N/A	N/A	N/A	17.12	1
1	34	26	3.6000	N/A	N/A
1	33	26	3.5000	N/A	N/A
1	32	27	3.4000	N/A	N/A
1	31	26	3.3000	N/A	N/A
1	30	26	3.2000	N/A	N/A
1	29	27	3.1000	N/A	N/A
1	28	26	3.0000	N/A	N/A
1	27	25	2.9000	N/A	N/A
1	26	24	2.8000	N/A	N/A
1	25	25	2.7000	N/A	N/A
1	24	24	2.6000	N/A	N/A
1	23	24	2.5000	N/A	N/A
1	22	25	2.4000	N/A	N/A
1	21	26	2.3000	N/A	N/A
1	20	25	2.2000	N/A	N/A
1	19	26	2.1000	N/A	N/A
1	18	27	2.0000	N/A	N/A
2	N/A	N/A	N/A	25.02	0
2	24	14	2.6000	N/A	N/A
2	23	15	2.5000	N/A	N/A
2	22	16	2.4000	N/A	N/A
2	21	16	2.3000	N/A	N/A
2	20	16	2.2000	N/A	N/A
2	19	15	2.1000	N/A	N/A
2	18	15	2.0000	N/A	N/A
2	17	15	1.9000	N/A	N/A
2	16	15	1.8000	N/A	N/A
2	15	16	1.7000	N/A	N/A
2	14	15	1.6000	N/A	N/A
2	13	14	1.5000	N/A	N/A
2	12	13	1.4000	N/A	N/A
2	11	13	1.3000	N/A	N/A
2	10	14	1.2000	N/A	N/A
2	9	14	1.1000	N/A	N/A
2	8	14	1.0000	N/A	N/A
2	7	13	0.9000	N/A	N/A
2	6	14	0.8000	N/A	N/A
2	5	15	0.7000	N/A	N/A
2	4	14	0.6000	N/A	N/A
2	3	15	0.5000	N/A	N/A
2	2	14	0.4000	N/A	N/A
2	1	15	0.3000	N/A	N/A
2	0	14	0.2000	N/A	N/A
3	N/A	N/A	N/A	25.02	0
3	24	36	2.6000	N/A	N/A
3	23	36	2.5000	N/A	N/A
3	22	37	2.4000	N/A	N/A
3	21	38	2.3000	N/A	N/A
3	20	37	2.2000	N/A	N/A
3	19	36	2.1000	N/A	N/A
3	18	37	2.0000	N/A	N/A
3	17	37	1.9000	N/A	N/A
3	16	36	1.8000	N/A	N/A
3	15	37	1.7000	N/A	N/A
3	14	36	1.6000	N/A	N/A
3	13	37	1.5000	N/A	N/A
3	12	38	1.4000	N/A	N/A
3	11	39	1.3000	N/A	N/A
3	10	38	1.2000	N/A	N/A
3	9	38	1.1000	N/A	N/A
3	8	38	1.0000	N/A	N/A
3	7	37	0.9000	N/A	N/A
3	6	36	0.8000	N/A	N/A
3	5	36	0.7000	N/A	N/A
3	4	36	0.6000	N/A	N/A
3	3	36	0.5000	N/A	N/A
3	2	37	0.4000	N/A	N/A
3	1	37	0.3000	N/A	N/A
3	0	36	0.2000	N/A	N/A
4	N/A	N/A	N/A	9.06	1
4	19	21	2.1000	N/A	N/A
4	18	20	2.0000	N/A	N/A
4	17	20	1.9000	N/A	N/A
4	16	19	1.8000	N/A	N/A
4	15	20	1.7000	N/A	N/A
4	14	19	1.6000	N/A	N/A
4	13	20	1.5000	N/A	N/A
4	12	21	1.4000	N/A	N/A
4	11	21	1.3000	N/A	N/A
5	N/A	N/A	N/A	30.59	0
5	29	29	3.1000	N/A	N/A
5	28	29	3.0000	N/A	N/A
5	27	30	2.9000	N/A	N/A
5	26	29	2.8000	N/A	N/A
5	25	28	2.7000	N/A	N/A
5	24	28	2.6000	N/A	N/A
5	23	29	2.5000	N/A	N/A
5	22	28	2.4000	N/A	N/A
5	21	29	2.3000	N/A	N/A
5	20	28	2.2000	N/A	N/A
5	19	28	2.1000	N/A	N/A
5	18	28	2.0000	N/A	N/A
5	17	28	1.9000	N/A	N/A
5	16	27	1.8000	N/A	N/A
5	15	27	1.7000	N/A	N/A
5	14	28	1.6000	N/A	N/A
5	13	29	1.5000	N/A	N/A
5	12	28	1.4000	N/A	N/A
5	11	29	1.3000	N/A	N/A
5	10	29	1.2000	N/A	N/A
5	9	29	1.1000	N/A	N/A
5	8	30	1.0000	N/A	N/A
5	7	29	0.9000	N/A	N/A
5	6	29	0.8000	N/A	N/A
5	5	29	0.7000	N/A	N/A
5	4	28	0.6000	N/A	N/A
5	3	27	0.5000	N/A	N/A
5	2	26	0.4000	N/A	N/A
5	1	25	0.3000	N/A	N/A
5	0	24	0.2000	N/A	N/A
