CellID	PositionX	PositionY	ECMValue	Displacement	AnastomosisCount
0	N/A	N/A	N/A	15.30	0
0	14	26	1.6000	N/A	N/A
0	13	27	1.5000	N/A	N/A
0	12	27	1.4000	N/A	N/A
0	11	28	1.3000	N/A	N/A
0	10	29	1.2000	N/A	N/A
0	9	28	1.1000	N/A	N/A
0	8	29	1.0000	N/A	N/A
0	7	28	0.9000	N/A	N/A
0	6	27	0.8000	N/A	N/A
0	5	28	0.7000	N/A	N/A
0	4	28	0.6000	N/A	N/A
0	3	28	0.5000	N/A	N/A
0	2	29	0.4000	N/A	N/A
0	1	29	0.3000	N/A	N/A
0	0	28	0.2000	N/A	N/A
1	N/A	N/A	N/A	6.40	1
1	34	25	3.6000	N/A	N/A
1	33	26	3.5000	N/A	N/A
1	32	27	3.4000	N/A	N/A
1	31	28	3.3000	N/A	N/A
1	30	29	3.2000	N/A	N/A
2	N/A	N/A	N/A	9.22	1
2	24	15	2.6000	N/A	N/A
2	23	14	2.5000	N/A	N/A
2	22	14	2.4000	N/A	N/A
2	21	15	2.3000	N/A	N/A
2	20	14	2.2000	N/A	N/A
2	19	15	2.1000	N/A	N/A
2	18	15	2.0000	N/A	N/A
2	17	16	1.9000	N/A	N/A
2	16	17	1.8000	N/A	N/A
3	N/A	N/A	N/A	25.02	0
3	24	35	2.6000	N/A	N/A
3	23	35	2.5000	N/A	N/A
3	22	36	2.4000	N/A	N/A
3	21	35	2.3000	N/A	N/A
3	20	34	2.2000	N/A	N/A
3	19	33	2.1000	N/A	N/A
3	18	34	2.0000	N/A	N/A
3	17	33	1.9000	N/A	N/A
3	16	33	1.8000	N/A	N/A
3	15	34	1.7000	N/A	N/A
3	14	34	1.6000	N/A	N/A
3	13	35	1.5000	N/A	N/A
3	12	34	1.4000	N/A	N/A
3	11	35	1.3000	N/A	N/A
3	10	34	1.2000	N/A	N/A
3	9	35	1.1000	N/A	N/A
3	8	35	1.0000	N/A	N/A
3	7	35	0.9000	N/A	N/A
3	6	34	0.8000	N/A	N/A
3	5	34	0.7000	N/A	N/A
3	4	34	0.6000	N/A	N/A
3	3	34	0.5000	N/A	N/A
3	2	33	0.4000	N/A	N/A
3	1	34	0.3000	N/A	N/A
3	0	34	0.2000	N/A	N/A
4	N/A	N/A	N/A	20.00	0
4	19	19	2.1000	N/A	N/A
4	18	18	2.0000	N/A	N/A
4	17	19	1.9000	N/A	N/A
4	16	18	1.8000	N/A	N/A
4	15	19	1.7000	N/A	N/A
4	14	20	1.6000	N/A	N/A
4	13	20	1.5000	N/A	N/A
4	12	19	1.4000	N/A	N/A
4	11	20	1.3000	N/A	N/A
4	10	20	1.2000	N/A	N/A
4	9	21	1.1000	N/A	N/A
4	8	20	1.0000	N/A	N/A
4	7	20	0.9000	N/A	N/A
4	6	20	0.8000	N/A	N/A
4	5	20	0.7000	N/A	N/A
4	4	20	0.6000	N/A	N/A
4	3	21	0.5000	N/A	N/A
4	2	21	0.4000	N/A	N/A
4	1	21	0.3000	N/A	N/A
4	0	20	0.2000	N/A	N/A
5	N/A	N/A	N/A	10.20	1
5	29	30	3.1000	N/A	N/A
5	28	31	3.0000	N/A	N/A
5	27	32	2.9000	N/A	N/A
5	26	33	2.8000	N/A	N/A
5	25	33	2.7000	N/A	N/A
5	24	32	2.6000	N/A	N/A
5	23	32	2.5000	N/A	N/A
5	22	32	2.4000	N/A	N/A
5	21	31	2.3000	N/A	N/A
5	20	32	2.2000	N/A	N/A
