CellID	PositionX	PositionY	ECMValue	Displacement	AnastomosisCount
0	N/A	N/A	N/A	15.13	0
0	14	24	1.6000	N/A	N/A
0	13	23	1.5000	N/A	N/A
0	12	24	1.4000	N/A	N/A
0	11	23	1.3000	N/A	N/A
0	10	22	1.2000	N/A	N/A
0	9	22	1.1000	N/A	N/A
0	8	21	1.0000	N/A	N/A
0	7	21	0.9000	N/A	N/A
0	6	22	0.8000	N/A	N/A
0	5	22	0.7000	N/A	N/A
0	4	23	0.6000	N/A	N/A
0	3	22	0.5000	N/A	N/A
0	2	22	0.4000	N/A	N/A
0	1	22	0.3000	N/A	N/A
0	0	23	0.2000	N/A	N/A
1	N/A	N/A	N/A	16.28	1
1	34	26	3.6000	N/A	N/A
1	33	27	3.5000	N/A	N/A
1	32	27	3.4000	N/A	N/A
1	31	26	3.3000	N/A	N/A
1	30	26	3.2000	N/A	N/A
1	29	26	3.1000	N/A	N/A
1	28	26	3.0000	N/A	N/A
1	27	25	2.9000	N/A	N/A
1	26	26	2.8000	N/A	N/A
1	25	27	2.7000	N/A	N/A
1	24	26	2.6000	N/A	N/A
1	23	25	2.5000	N/A	N/A
1	22	25	2.4000	N/A	N/A
1	21	24	2.3000	N/A	N/A
1	20	23	2.2000	N/A	N/A
1	19	22	2.1000	N/A	N/A
2	N/A	N/A	N/A	25.50	0
2	24	15	2.6000	N/A	N/A
2	23	15	2.5000	N/A	N/A
2	22	15	2.4000	N/A	N/A
2	21	15	2.3000	N/A	N/A
2	20	15	2.2000	N/A	N/A
2	19	14	2.1000	N/A	N/A
2	18	13	2.0000	N/A	N/A
2	17	13	1.9000	N/A	N/A
2	16	12	1.8000	N/A	N/A
2	15	11	1.7000	N/A	N/A
2	14	12	1.6000	N/A	N/A
2	13	11	1.5000	N/A	N/A
2	12	10	1.4000	N/A	N/A
2	11	11	1.3000	N/A	N/A
2	10	11	1.2000	N/A	N/A
2	9	10	1.1000	N/A	N/A
2	8	10	1.0000	N/A	N/A
2	7	11	0.9000	N/A	N/A
2	6	11	0.8000	N/A	N/A
2	5	11	0.7000	N/A	N/A
2	4	10	0.6000	N/A	N/A
2	3	9	0.5000	N/A	N/A
2	2	10	0.4000	N/A	N/A
2	1	10	0.3000	N/A	N/A
2	0	10	0.2000	N/A	N/A
3	N/A	N/A	N/A	25.18	0
3	24	35	2.6000	N/A	N/A
3	23	34	2.5000	N/A	N/A
3	22	33	2.4000	N/A	N/A
3	21	33	2.3000	N/A	N/A
3	20	34	2.2000	N/A	N/A
3	19	34	2.1000	N/A	N/A
3	18	34	2.0000	N/A	N/A
3	17	34	1.9000	N/A	N/A
3	16	34	1.8000	N/A	N/A
3	15	35	1.7000	N/A	N/A
3	14	36	1.6000	N/A	N/A
3	13	35	1.5000	N/A	N/A
3	12	36	1.4000	N/A	N/A
3	11	36	1.3000	N/A	N/A
3	10	37	1.2000	N/A	N/A
3	9	36	1.1000	N/A	N/A
3	8	35	1.0000	N/A	N/A
3	7	34	0.9000	N/A	N/A
3	6	33	0.8000	N/A	N/A
3	5	32	0.7000	N/A	N/A
3	4	32	0.6000	N/A	N/A
3	3	32	0.5000	N/A	N/A
3	2	31	0.4000	N/A	N/A
3	1	31	0.3000	N/A	N/A
3	0	32	0.2000	N/A	N/A
4	N/A	N/A	N/A	9.22	1
4	19	20	2.1000	N/A	N/A
4	18	21	2.0000	N/A	N/A
4	17	22	1.9000	N/A	N/A
4	16	21	1.8000	N/A	N/A
4	15	22	1.7000	N/A	N/A
4	14	21	1.6000	N/A	N/A
4	13	21	1.5000	N/A	N/A
4	12	21	1.4000	N/A	N/A
4	11	22	1.3000	N/A	N/A
5	N/A	N/A	N/A	8.25	1
5	29	31	3.1000	N/A	N/A
5	28	30	3.0000	N/A	N/A
5	27	31	2.9000	N/A	N/A
5	26	32	2.8000	N/A	N/A
5	25	31	2.7000	N/A	N/A
5	24	30	2.6000	N/A	N/A
5	23	31	2.5000	N/A	N/A
5	22	32	2.4000	N/A	N/A
