CellID	PositionX	PositionY	ECMValue	Displacement	AnastomosisCount
0	N/A	N/A	N/A	15.00	0
0	14	24	1.6000	N/A	N/A
0	13	24	1.5000	N/A	N/A
0	12	24	1.4000	N/A	N/A
0	11	25	1.3000	N/A	N/A
0	10	26	1.2000	N/A	N/A
0	9	25	1.1000	N/A	N/A
0	8	26	1.0000	N/A	N/A
0	7	27	0.9000	N/A	N/A
0	6	28	0.8000	N/A	N/A
0	5	27	0.7000	N/A	N/A
0	4	26	0.6000	N/A	N/A
0	3	25	0.5000	N/A	N/A
0	2	25	0.4000	N/A	N/A
0	1	25	0.3000	N/A	N/A
0	0	25	0.2000	N/A	N/A
1	N/A	N/A	N/A	13.00	1
1	34	24	3.6000	N/A	N/A
1	33	24	3.5000	N/A	N/A
1	32	24	3.4000	N/A	N/A
1	31	25	3.3000	N/A	N/A
1	30	26	3.2000	N/A	N/A
1	29	27	3.1000	N/A	N/A
1	28	27	3.0000	N/A	N/A
1	27	27	2.9000	N/A	N/A
1	26	26	2.8000	N/A	N/A
1	25	25	2.7000	N/A	N/A
1	24	25	2.6000	N/A	N/A
1	23	25	2.5000	N/A	N/A
1	22	25	2.4000	N/A	N/A
2	N/A	N/A	N/A	7.28	1
2	24	15	2.6000	N/A	N/A
2	23	15	2.5000	N/A	N/A
2	22	14	2.4000	N/A	N/A
2	21	15	2.3000	N/A	N/A
2	20	16	2.2000	N/A	N/A
2	19	17	2.1000	N/A	N/A
2	18	17	2.0000	N/A	N/A
3	N/A	N/A	N/A	25.18	0
3	24	35	2.6000	N/A	N/A
3	23	35	2.5000	N/A	N/A
3	22	34	2.4000	N/A	N/A
3	21	35	2.3000	N/A	N/A
3	20	36	2.2000	N/A	N/A
3	19	35	2.1000	N/A	N/A
3	18	36	2.0000	N/A	N/A
3	17	37	1.9000	N/A	N/A
3	16	37	1.8000	N/A	N/A
3	15	37	1.7000	N/A	N/A
3	14	38	1.6000	N/A	N/A
3	13	37	1.5000	N/A	N/A
3	12	36	1.4000	N/A	N/A
3	11	36	1.3000	N/A	N/A
3	10	37	1.2000	N/A	N/A
3	9	37	1.1000	N/A	N/A
3	8	37	1.0000	N/A	N/A
3	7	36	0.9000	N/A	N/A
3	6	35	0.8000	N/A	N/A
3	5	35	0.7000	N/A	N/A
3	4	36	0.6000	N/A	N/A
3	3	36	0.5000	N/A	N/A
3	2	37	0.4000	N/A	N/A
3	1	37	0.3000	N/A	N/A
3	0	38	0.2000	N/A	N/A
4	N/A	N/A	N/A	20.88	0
4	19	20	2.1000	N/A	N/A
4	18	19	2.0000	N/A	N/A
4	17	18	1.9000	N/A	N/A
4	16	17	1.8000	N/A	N/A
4	15	16	1.7000	N/A	N/A
4	14	15	1.6000	N/A	N/A
4	13	16	1.5000	N/A	N/A
4	12	15	1.4000	N/A	N/A
4	11	16	1.3000	N/A	N/A
4	10	17	1.2000	N/A	N/A
4	9	16	1.1000	N/A	N/A
4	8	16	1.0000	N/A	N/A
4	7	17	0.9000	N/A	N/A
4	6	17	0.8000	N/A	N/A
4	5	16	0.7000	N/A	N/A
4	4	15	0.6000	N/A	N/A
4	3	16	0.5000	N/A	N/A
4	2	15	0.4000	N/A	N/A
4	1	14	0.3000	N/A	N/A
4	0	14	0.2000	N/A	N/A
5	N/A	N/A	N/A	23.09	1
5	29	29	3.1000	N/A	N/A
5	28	30	3.0000	N/A	N/A
5	27	30	2.9000	N/A	N/A
5	26	31	2.8000	N/A	N/A
5	25	30	2.7000	N/A	N/A
5	24	29	2.6000	N/A	N/A
5	23	28	2.5000	N/A	N/A
5	22	27	2.4000	N/A	N/A
5	21	26	2.3000	N/A	N/A
5	20	25	2.2000	N/A	N/A
5	19	26	2.1000	N/A	N/A
5	18	26	2.0000	N/A	N/A
5	17	27	1.9000	N/A	N/A
5	16	28	1.8000	N/A	N/A
5	15	28	1.7000	N/A	N/A
5	14	29	1.6000	N/A	N/A
5	13	30	1.5000	N/A	N/A
5	12	29	1.4000	N/A	N/A
5	11	30	1.3000	N/A	N/A
5	10	30	1.2000	N/A	N/A
5	9	29	1.1000	N/A	N/A
5	8	29	1.0000	N/A	N/A
5	7	28	0.9000	N/A	N/A
