VesselID	PositionX	PositionY	VEGFValue	Displacement	AnastomosisCount
1	15	25	0.2513	15.2971	1
1	14	24	0.9463	15.2971	1
1	14	24	0.9463	15.2971	1
1	13	25	0.8937	15.2971	1
1	13	25	0.8937	15.2971	1
1	12	25	0.7137	15.2971	1
1	12	25	0.7137	15.2971	1
1	12	24	0.5222	15.2971	1
1	12	24	0.5222	15.2971	1
1	13	23	0.6283	15.2971	1
1	13	23	0.6283	15.2971	1
1	14	22	0.4918	15.2971	1
1	14	22	0.4918	15.2971	1
1	15	21	0.6285	15.2971	1
1	15	21	0.6285	15.2971	1
1	16	20	0.4272	15.2971	1
1	16	20	0.4272	15.2971	1
1	17	19	0.4393	15.2971	1
1	17	19	0.4393	15.2971	1
1	17	18	0.4849	15.2971	1
1	17	18	0.4849	15.2971	1
1	16	18	0.3215	15.2971	1
1	16	18	0.3215	15.2971	1
1	15	19	0.4001	15.2971	1
1	15	19	0.4001	15.2971	1
1	14	19	0.4744	15.2971	1
1	14	19	0.4744	15.2971	1
1	13	18	0.3955	15.2971	1
1	13	18	0.3955	15.2971	1
1	12	17	0.4587	15.2971	1
1	12	17	0.4587	15.2971	1
1	11	17	0.4084	15.2971	1
1	11	17	0.4084	15.2971	1
1	11	16	0.3792	15.2971	1
1	11	16	0.3792	15.2971	1
1	12	15	0.3360	15.2971	1
1	12	15	0.3360	15.2971	1
1	12	14	0.2843	15.2971	1
1	12	14	0.2843	15.2971	1
1	13	13	0.2909	15.2971	1
1	13	13	0.2909	15.2971	1
1	13	12	0.2793	15.2971	1
1	13	12	0.2793	15.2971	1
1	14	11	0.2656	15.2971	1
1	14	11	0.2656	15.2971	1
1	15	12	0.1936	15.2971	1
1	15	12	0.1936	15.2971	1
1	16	11	0.2658	15.2971	1
1	16	11	0.2658	15.2971	1
1	17	10	0.2169	15.2971	1
1	17	10	0.2169	15.2971	1
1	18	10	0.2012	15.2971	1
1	18	10	0.2012	15.2971	1
1	17	11	0.1289	15.2971	1
2	35	25	0.6308	7.0711	1
2	34	26	0.9395	7.0711	1
2	34	26	0.9395	7.0711	1
2	33	25	0.7998	7.0711	1
2	33	25	0.7998	7.0711	1
2	32	24	0.4513	7.0711	1
2	32	24	0.4513	7.0711	1
2	31	24	0.7828	7.0711	1
2	31	24	0.7828	7.0711	1
2	30	24	0.6241	7.0711	1
2	30	24	0.6241	7.0711	1
2	29	23	0.5954	7.0711	1
2	29	23	0.5954	7.0711	1
2	28	24	0.5157	7.0711	1
2	28	24	0.5157	7.0711	1
2	28	25	0.4782	7.0711	1
2	28	25	0.4782	7.0711	1
2	29	26	0.4758	7.0711	1
2	29	26	0.4758	7.0711	1
2	29	25	0.3768	7.0711	1
2	29	25	0.3768	7.0711	1
2	30	25	0.2580	7.0711	1
2	30	25	0.2580	7.0711	1
2	30	26	0.3223	7.0711	1
2	30	26	0.3223	7.0711	1
2	31	27	0.3936	7.0711	1
2	31	27	0.3936	7.0711	1
2	31	28	0.3826	7.0711	1
2	31	28	0.3826	7.0711	1
2	32	29	0.4610	7.0711	1
3	25	15	0.6093	7.6158	3
3	26	14	0.8652	7.6158	3
3	26	14	0.8652	7.6158	3
3	27	14	0.8687	7.6158	3
3	27	14	0.8687	7.6158	3
3	26	13	0.3334	7.6158	3
3	26	13	0.3334	7.6158	3
3	25	12	0.8082	7.6158	3
3	25	12	0.8082	7.6158	3
3	24	12	0.6320	7.6158	3
3	24	12	0.6320	7.6158	3
3	23	12	0.4681	7.6158	3
3	23	12	0.4681	7.6158	3
3	22	12	0.5416	7.6158	3
3	22	12	0.5416	7.6158	3
3	21	13	0.6418	7.6158	3
3	21	13	0.6418	7.6158	3
3	20	14	0.5850	7.6158	3
3	20	14	0.5850	7.6158	3
3	19	13	0.5620	7.6158	3
3	19	13	0.5620	7.6158	3
3	18	12	0.5327	7.6158	3
3	18	12	0.5327	7.6158	3
3	18	13	0.4580	7.6158	3
3	18	13	0.4580	7.6158	3
3	19	14	0.3523	7.6158	3
3	19	14	0.3523	7.6158	3
3	20	15	0.4068	7.6158	3
3	20	15	0.4068	7.6158	3
3	20	16	0.2449	7.6158	3
3	20	16	0.2449	7.6158	3
3	21	16	0.2115	7.6158	3
3	21	16	0.2115	7.6158	3
3	21	17	0.1472	7.6158	3
4	25	35	0.7332	5.6569	0
4	24	35	0.9248	5.6569	0
4	24	35	0.9248	5.6569	0
4	23	34	0.8696	5.6569	0
