VesselID	X	Y	VEGF	Displacement	Anastomosis
1	11	13	0.0062	5.3852	0
1	11	13	0.0062	5.3852	0
1	11	14	0.0078	5.3852	0
1	11	14	0.0078	5.3852	0
1	12	15	0.0082	5.3852	0
1	12	15	0.0082	5.3852	0
1	13	16	0.0078	5.3852	0
1	13	16	0.0078	5.3852	0
1	14	17	0.0042	5.3852	0
1	14	17	0.0042	5.3852	0
1	15	17	0.0064	5.3852	0
1	15	17	0.0064	5.3852	0
1	15	18	0.0042	5.3852	0
1	15	18	0.0042	5.3852	0
1	14	18	0.0037	5.3852	0
1	14	18	0.0037	5.3852	0
1	14	19	0.0025	5.3852	0
1	14	19	0.0025	5.3852	0
1	13	20	0.0047	5.3852	0
2	35	25	0.4224	7.6158	2
2	36	24	0.8967	7.6158	2
2	36	24	0.8967	7.6158	2
2	37	23	0.8042	7.6158	2
2	37	23	0.8042	7.6158	2
2	38	23	0.8197	7.6158	2
2	38	23	0.8197	7.6158	2
2	37	24	0.6874	7.6158	2
2	37	24	0.6874	7.6158	2
2	36	23	0.6553	7.6158	2
2	36	23	0.6553	7.6158	2
2	35	23	0.3593	7.6158	2
2	35	23	0.3593	7.6158	2
2	34	23	0.6556	7.6158	2
2	34	23	0.6556	7.6158	2
2	33	24	0.6144	7.6158	2
2	33	24	0.6144	7.6158	2
2	32	23	0.4271	7.6158	2
2	32	23	0.4271	7.6158	2
2	32	22	0.4136	7.6158	2
2	32	22	0.4136	7.6158	2
2	33	21	0.5160	7.6158	2
2	33	21	0.5160	7.6158	2
2	34	20	0.4244	7.6158	2
2	34	20	0.4244	7.6158	2
2	35	20	0.5020	7.6158	2
2	35	20	0.5020	7.6158	2
2	34	19	0.4338	7.6158	2
2	34	19	0.4338	7.6158	2
2	33	19	0.3376	7.6158	2
2	33	19	0.3376	7.6158	2
2	32	19	0.2872	7.6158	2
2	32	19	0.2872	7.6158	2
2	31	20	0.4147	7.6158	2
2	31	20	0.4147	7.6158	2
2	32	21	0.3131	7.6158	2
2	32	21	0.3131	7.6158	2
2	32	20	0.1946	7.6158	2
2	32	20	0.1946	7.6158	2
2	31	19	0.1393	7.6158	2
2	31	19	0.1393	7.6158	2
2	30	20	0.2442	7.6158	2
2	30	20	0.2442	7.6158	2
2	29	21	0.2838	7.6158	2
2	29	21	0.2838	7.6158	2
2	29	22	0.3050	7.6158	2
2	29	22	0.3050	7.6158	2
2	28	22	0.2146	7.6158	2
3	25	15	0.1094	12.1655	3
3	25	16	0.8205	12.1655	3
3	25	16	0.8205	12.1655	3
3	25	17	0.6231	12.1655	3
3	25	17	0.6231	12.1655	3
3	26	18	0.2570	12.1655	3
3	26	18	0.2570	12.1655	3
3	26	19	0.3032	12.1655	3
3	26	19	0.3032	12.1655	3
3	26	20	0.4490	12.1655	3
3	26	20	0.4490	12.1655	3
3	26	21	0.6508	12.1655	3
3	26	21	0.6508	12.1655	3
3	25	22	0.6313	12.1655	3
3	25	22	0.6313	12.1655	3
3	24	21	0.6074	12.1655	3
3	24	21	0.6074	12.1655	3
3	24	22	0.5018	12.1655	3
3	24	22	0.5018	12.1655	3
3	23	23	0.5315	12.1655	3
3	23	23	0.5315	12.1655	3
3	22	22	0.4341	12.1655	3
3	22	22	0.4341	12.1655	3
3	21	23	0.2776	12.1655	3
3	21	23	0.2776	12.1655	3
3	21	24	0.4998	12.1655	3
3	21	24	0.4998	12.1655	3
3	21	25	0.4077	12.1655	3
3	21	25	0.4077	12.1655	3
3	22	26	0.4263	12.1655	3
3	22	26	0.4263	12.1655	3
3	23	27	0.4387	12.1655	3
3	23	27	0.4387	12.1655	3
3	24	26	0.3207	12.1655	3
3	24	26	0.3207	12.1655	3
3	25	25	0.3281	12.1655	3
3	25	25	0.3281	12.1655	3
3	25	24	0.3526	12.1655	3
3	25	24	0.3526	12.1655	3
3	26	23	0.3037	12.1655	3
3	26	23	0.3037	12.1655	3
3	26	22	0.3014	12.1655	3
3	26	22	0.3014	12.1655	3
3	27	22	0.2519	12.1655	3
3	27	22	0.2519	12.1655	3
3	27	23	0.2466	12.1655	3
3	27	23	0.2466	12.1655	3
3	28	24	0.2790	12.1655	3
4	25	35	0.2963	6.4031	1
4	24	36	0.8343	6.4031	1
4	24	36	0.8343	6.4031	1
4	23	36	0.7366	6.4031	1
4	23	36	0.7366	6.4031	1
4	23	35	0.6048	6.4031	1
4	23	35	0.6048	6.4031	1
4	23	34	0.6033	6.4031	1
4	23	34	0.6033	6.4031	1
4	24	33	0.7496	6.4031	1
4	24	33	0.7496	6.4031	1
4	25	32	0.6057	6.4031	1
4	25	32	0.6057	6.4031	1
4	26	33	0.6350	6.4031	1
4	26	33	0.6350	6.4031	1
4	27	34	0.3263	6.4031	1
4	27	34	0.3263	6.4031	1
4	27	35	0.6213	6.4031	1
4	27	35	0.6213	6.4031	1
4	28	36	0.5325	6.4031	1
4	28	36	0.5325	6.4031	1
4	28	37	0.5280	6.4031	1
4	28	37	0.5280	6.4031	1
4	29	37	0.3893	6.4031	1
4	29	37	0.3893	6.4031	1
4	29	36	0.3017	6.4031	1
4	29	36	0.3017	6.4031	1
4	28	35	0.3040	6.4031	1
4	28	35	0.3040	6.4031	1
4	28	34	0.2824	6.4031	1
4	28	34	0.2824	6.4031	1
4	28	33	0.2004	6.4031	1
4	28	33	0.2004	6.4031	1
4	28	32	0.3815	6.4031	1
4	28	32	0.3815	6.4031	1
4	28	31	0.2404	6.4031	1
4	28	31	0.2404	6.4031	1
4	29	30	0.1490	6.4031	1
5	20	20	0.4931	4.1231	1
5	19	19	0.5802	4.1231	1
5	19	19	0.5802	4.1231	1
5	19	18	0.7417	4.1231	1
5	19	18	0.7417	4.1231	1
5	20	17	0.7416	4.1231	1
5	20	17	0.7416	4.1231	1
5	20	16	0.6133	4.1231	1
5	20	16	0.6133	4.1231	1
5	21	16	0.4512	4.1231	1
5	21	16	0.4512	4.1231	1
5	21	17	0.4028	4.1231	1
5	21	17	0.4028	4.1231	1
5	22	18	0.6262	4.1231	1
5	22	18	0.6262	4.1231	1
5	23	18	0.6354	4.1231	1
5	23	18	0.6354	4.1231	1
5	22	19	0.5265	4.1231	1
5	22	19	0.5265	4.1231	1
5	22	20	0.5099	4.1231	1
5	22	20	0.5099	4.1231	1
5	23	20	0.1784	4.1231	1
6	30	30	0.3227	12.7279	1
6	30	31	0.9446	12.7279	1
6	30	31	0.9446	12.7279	1
6	31	31	0.8003	12.7279	1
6	31	31	0.8003	12.7279	1
6	31	32	0.2770	12.7279	1
6	31	32	0.2770	12.7279	1
6	32	32	0.6768	12.7279	1
6	32	32	0.6768	12.7279	1
6	32	31	0.7736	12.7279	1
6	32	31	0.7736	12.7279	1
6	32	30	0.4628	12.7279	1
6	32	30	0.4628	12.7279	1
6	33	29	0.4941	12.7279	1
6	33	29	0.4941	12.7279	1
6	34	28	0.5108	12.7279	1
6	34	28	0.5108	12.7279	1
6	35	27	0.5697	12.7279	1
6	35	27	0.5697	12.7279	1
6	35	28	0.4611	12.7279	1
6	35	28	0.4611	12.7279	1
6	36	28	0.2546	12.7279	1
6	36	28	0.2546	12.7279	1
6	35	29	0.2393	12.7279	1
6	35	29	0.2393	12.7279	1
6	35	30	0.3722	12.7279	1
6	35	30	0.3722	12.7279	1
6	36	31	0.3741	12.7279	1
6	36	31	0.3741	12.7279	1
6	36	32	0.3319	12.7279	1
6	36	32	0.3319	12.7279	1
6	35	33	0.3081	12.7279	1
6	35	33	0.3081	12.7279	1
6	35	34	0.4135	12.7279	1
6	35	34	0.4135	12.7279	1
6	36	35	0.2518	12.7279	1
6	36	35	0.2518	12.7279	1
6	37	36	0.2369	12.7279	1
6	37	36	0.2369	12.7279	1
6	37	37	0.3085	12.7279	1
6	37	37	0.3085	12.7279	1
6	36	38	0.3151	12.7279	1
6	36	38	0.3151	12.7279	1
6	37	39	0.2245	12.7279	1
6	37	39	0.2245	12.7279	1
6	38	39	0.2474	12.7279	1
6	38	39	0.2474	12.7279	1
6	38	38	0.0869	12.7279	1
6	38	38	0.0869	12.7279	1
6	39	37	0.1797	12.7279	1
6	39	37	0.1797	12.7279	1
6	39	38	0.1117	12.7279	1
6	39	38	0.1117	12.7279	1
6	39	39	0.0493	12.7279	1
6	39	39	0.0493	12.7279	1
