CellID	PositionX	PositionY	ECMValue	VEGFValue	Avg_Position	Displacement	AnastomosisCount
0	N/A	N/A	N/A	N/A	N/A	3.16	1
0	15	24	0.5000	0.9370	N/A	N/A	N/A
0	15	23	0.5000	0.8433	N/A	N/A	N/A
0	16	22	0.5000	0.9504	N/A	N/A	N/A
1	N/A	N/A	N/A	N/A	N/A	5.00	1
1	36	26	0.5000	0.9981	N/A	N/A	N/A
1	37	27	0.5000	0.7015	N/A	N/A	N/A
1	37	26	0.5000	0.4527	N/A	N/A	N/A
1	36	26	0.5000	0.9981	N/A	N/A	N/A
1	35	25	0.5000	0.3610	N/A	N/A	N/A
1	35	24	0.5000	0.9226	N/A	N/A	N/A
1	36	23	0.5000	0.7895	N/A	N/A	N/A
1	36	24	0.5000	0.6830	N/A	N/A	N/A
1	35	24	0.5000	0.9226	N/A	N/A	N/A
1	34	25	0.5000	0.6663	N/A	N/A	N/A
1	33	25	0.5000	0.7670	N/A	N/A	N/A
1	32	26	0.5000	0.8252	N/A	N/A	N/A
1	32	27	0.5000	0.8497	N/A	N/A	N/A
1	31	28	0.5000	0.6104	N/A	N/A	N/A
1	32	29	0.5000	0.6756	N/A	N/A	N/A
2	N/A	N/A	N/A	N/A	N/A	8.00	0
2	26	15	0.5000	0.9631	N/A	N/A	N/A
2	25	16	0.5000	0.8242	N/A	N/A	N/A
2	26	17	0.5000	0.5426	N/A	N/A	N/A
2	27	18	0.5000	0.9057	N/A	N/A	N/A
2	28	17	0.5000	0.8579	N/A	N/A	N/A
2	29	16	0.5000	0.8596	N/A	N/A	N/A
2	30	16	0.5000	0.4338	N/A	N/A	N/A
2	29	16	0.5000	0.8596	N/A	N/A	N/A
2	28	17	0.5000	0.8579	N/A	N/A	N/A
2	27	18	0.5000	0.9057	N/A	N/A	N/A
2	27	19	0.5000	0.7957	N/A	N/A	N/A
2	28	20	0.5000	0.5823	N/A	N/A	N/A
2	28	21	0.5000	0.7762	N/A	N/A	N/A
2	29	22	0.5000	0.8365	N/A	N/A	N/A
2	30	21	0.5000	0.9664	N/A	N/A	N/A
2	30	20	0.5000	0.8314	N/A	N/A	N/A
2	31	19	0.5000	0.7127	N/A	N/A	N/A
2	32	20	0.5000	0.9514	N/A	N/A	N/A
2	33	19	0.5000	0.7932	N/A	N/A	N/A
2	34	19	0.5000	0.8285	N/A	N/A	N/A
2	33	19	0.5000	0.7932	N/A	N/A	N/A
2	32	20	0.5000	0.9514	N/A	N/A	N/A
2	31	19	0.5000	0.7127	N/A	N/A	N/A
2	31	18	0.5000	0.8436	N/A	N/A	N/A
2	31	17	0.5000	0.9543	N/A	N/A	N/A
2	32	16	0.5000	0.5400	N/A	N/A	N/A
2	33	16	0.5000	0.9314	N/A	N/A	N/A
2	33	15	0.5000	0.9064	N/A	N/A	N/A
2	33	14	0.5000	0.9264	N/A	N/A	N/A
2	33	13	0.5000	0.8104	N/A	N/A	N/A
2	33	12	0.5000	0.9149	N/A	N/A	N/A
2	34	12	0.5000	0.8977	N/A	N/A	N/A
2	33	12	0.5000	0.9149	N/A	N/A	N/A
2	33	13	0.5000	0.8104	N/A	N/A	N/A
2	33	14	0.5000	0.9264	N/A	N/A	N/A
2	33	15	0.5000	0.9064	N/A	N/A	N/A
2	33	16	0.5000	0.9314	N/A	N/A	N/A
2	34	17	0.5000	0.9533	N/A	N/A	N/A
2	35	18	0.5000	0.9140	N/A	N/A	N/A
2	36	17	0.5000	0.6970	N/A	N/A	N/A
2	37	17	0.5000	0.5777	N/A	N/A	N/A
2	36	17	0.5000	0.6970	N/A	N/A	N/A
2	35	18	0.5000	0.9140	N/A	N/A	N/A
2	34	17	0.5000	0.9533	N/A	N/A	N/A
2	33	16	0.5000	0.9314	N/A	N/A	N/A
2	33	15	0.5000	0.9064	N/A	N/A	N/A
2	33	14	0.5000	0.9264	N/A	N/A	N/A
2	33	13	0.5000	0.8104	N/A	N/A	N/A
2	33	12	0.5000	0.9149	N/A	N/A	N/A
